iter	Passed	Remaining
0	1	1910
1	7	3646
2	8	2831
3	9	2426
4	11	2253
5	14	2473
6	16	2292
7	17	2163
8	18	2057
9	19	1970
10	21	1892
11	21	1793
12	23	1747
13	24	1709
14	25	1672
15	26	1657
16	28	1627
17	29	1609
18	30	1584
19	31	1562
20	33	1544
21	34	1533
22	35	1521
23	37	1505
24	38	1490
25	39	1477
26	41	1478
27	42	1472
28	43	1460
29	44	1452
30	46	1448
31	47	1441
32	48	1433
33	50	1428
34	51	1419
35	52	1413
36	54	1407
37	55	1409
38	56	1401
39	58	1403
40	59	1397
41	61	1392
42	62	1385
43	63	1379
44	64	1376
45	66	1370
46	67	1365
47	68	1360
48	69	1355
49	71	1354
50	73	1361
51	76	1399
52	80	1443
53	84	1473
54	86	1493
55	91	1535
56	94	1570
57	97	1587
58	102	1631
59	106	1662
60	108	1677
61	113	1710
62	116	1734
63	118	1739
64	120	1733
65	121	1723
66	123	1714
67	125	1716
68	126	1705
69	127	1697
70	129	1690
71	131	1688
72	132	1678
73	133	1669
74	134	1660
75	135	1652
76	137	1643
77	138	1636
78	140	1633
79	141	1625
80	142	1620
81	143	1611
82	145	1603
83	146	1595
84	147	1588
85	148	1581
86	149	1574
87	151	1565
88	152	1558
89	153	1552
90	154	1545
91	155	1538
92	156	1530
93	158	1523
94	159	1516
95	160	1511
96	161	1504
97	162	1498
98	163	1491
99	165	1485
100	166	1484
101	167	1478
102	168	1471
103	170	1465
104	171	1461
105	172	1454
106	173	1447
107	174	1440
108	175	1433
109	176	1425
110	177	1420
111	178	1415
112	179	1409
113	180	1403
114	181	1397
115	182	1391
116	183	1386
117	184	1380
118	185	1374
119	186	1367
120	187	1361
121	188	1355
122	189	1350
123	190	1345
124	191	1341
125	192	1338
126	193	1331
127	194	1326
128	195	1322
129	196	1317
130	197	1313
131	199	1308
132	200	1304
133	201	1300
134	202	1296
135	203	1291
136	204	1286
137	205	1282
138	206	1277
139	207	1273
140	208	1268
141	209	1264
142	210	1260
143	211	1256
144	212	1252
145	213	1248
146	214	1244
147	215	1240
148	216	1236
149	217	1233
150	218	1229
151	219	1225
152	220	1222
153	221	1218
154	222	1215
155	223	1211
156	225	1208
157	226	1204
158	227	1201
159	228	1198
160	229	1196
161	230	1192
162	231	1189
163	232	1186
164	233	1182
165	234	1179
166	235	1175
167	236	1172
168	237	1169
169	238	1165
170	239	1162
171	240	1159
172	241	1156
173	243	1153
174	243	1150
175	244	1147
176	245	1143
177	246	1140
178	248	1137
179	249	1134
180	250	1131
181	251	1128
182	252	1125
183	253	1122
184	254	1119
185	255	1116
186	256	1113
187	257	1110
188	258	1107
189	259	1105
190	260	1102
191	261	1099
192	262	1096
193	263	1093
194	264	1090
195	265	1087
196	266	1085
197	267	1082
198	268	1079
199	269	1076
200	270	1074
201	271	1071
202	272	1069
203	273	1066
204	274	1063
205	275	1060
206	276	1058
207	277	1055
208	278	1053
209	279	1050
210	280	1048
211	281	1045
212	282	1042
213	283	1040
214	284	1037
215	284	1033
216	285	1031
217	286	1028
218	287	1026
219	288	1024
220	289	1021
221	290	1019
222	291	1017
223	292	1014
224	293	1012
225	294	1008
226	295	1005
227	296	1003
228	297	1001
229	298	998
230	299	996
231	300	994
232	301	992
233	301	988
234	302	986
235	303	984
236	304	981
237	305	979
238	306	977
239	308	975
240	309	973
241	310	971
242	311	968
243	311	965
244	312	963
245	313	961
246	314	959
247	315	957
248	316	955
249	317	952
250	318	950
251	319	948
252	320	946
253	321	944
254	322	942
255	323	940
256	324	938
257	325	936
258	326	934
259	327	932
260	328	930
261	329	927
262	330	925
263	331	923
264	332	921
265	333	919
266	334	917
267	335	915
268	336	914
269	337	912
270	338	910
271	339	908
272	340	906
273	341	904
274	342	902
275	343	900
276	344	898
277	345	896
278	346	894
279	347	892
280	348	891
281	349	889
282	350	887
283	351	885
284	352	883
285	353	882
286	354	880
287	355	879
288	356	877
289	357	875
290	358	874
291	360	873
292	361	871
293	362	870
294	363	868
295	364	866
296	365	864
297	366	863
298	367	861
299	368	859
300	369	858
301	370	856
302	371	854
303	372	852
304	373	851
305	374	849
306	375	847
307	376	846
308	377	844
309	378	842
310	379	841
311	380	839
312	381	837
313	382	836
314	383	834
315	384	832
316	385	831
317	387	830
318	388	828
319	389	827
320	390	825
321	391	824
322	392	822
323	393	821
324	394	819
325	395	818
326	396	816
327	397	815
328	398	813
329	399	811
330	400	810
331	401	808
332	402	806
333	403	805
334	404	803
335	405	802
336	406	800
337	407	798
338	408	797
339	409	795
340	410	794
341	411	792
342	412	791
343	414	789
344	415	787
345	416	786
346	417	784
347	418	783
348	419	781
349	420	780
350	421	778
351	422	777
352	423	775
353	424	774
354	425	772
355	426	771
356	427	769
357	428	768
358	429	766
359	430	765
360	431	763
361	432	762
362	433	760
363	434	759
364	435	757
365	436	756
366	437	754
367	438	753
368	439	751
369	440	750
370	441	748
371	442	747
372	443	745
373	444	744
374	445	742
375	446	741
376	447	739
377	448	738
378	449	737
379	450	735
380	451	734
381	452	732
382	453	731
383	454	729
384	455	728
385	456	726
386	457	725
387	458	723
388	459	722
389	460	720
390	462	719
391	463	718
392	464	716
393	465	715
394	466	713
395	467	712
396	468	711
397	469	709
398	470	708
399	471	706
400	472	705
401	473	704
402	474	702
403	475	701
404	476	699
405	477	698
406	478	696
407	479	695
408	480	694
409	481	692
410	482	691
411	483	689
412	484	688
413	485	686
414	486	685
415	487	684
416	488	682
417	489	681
418	490	679
419	491	678
420	492	677
421	493	675
422	494	674
423	495	673
424	496	671
425	497	670
426	498	668
427	499	667
428	500	665
429	501	664
430	502	663
431	503	661
432	504	660
433	505	658
434	506	657
435	507	656
436	508	654
437	509	653
438	510	652
439	511	650
440	512	649
441	513	647
442	514	646
443	515	645
444	516	643
445	517	642
446	518	641
447	519	639
448	520	638
449	521	637
450	522	635
451	523	634
452	524	633
453	525	632
454	526	631
455	527	629
456	528	628
457	529	626
458	530	625
459	531	624
460	532	623
461	533	621
462	534	620
463	535	619
464	536	617
465	537	616
466	538	614
467	539	613
468	540	612
469	541	611
470	542	609
471	543	608
472	544	607
473	545	605
474	547	604
475	548	603
476	549	602
477	550	600
478	551	599
479	552	598
480	553	596
481	554	595
482	555	594
483	556	593
484	557	591
485	558	590
486	559	589
487	560	587
488	561	586
489	562	585
490	563	583
491	564	582
492	565	581
493	566	580
494	567	578
495	568	577
496	569	576
497	570	574
498	571	573
499	572	572
500	573	570
501	574	569
502	575	568
503	576	567
504	577	565
505	578	564
506	579	563
507	580	561
508	581	560
509	582	559
510	583	558
511	584	557
512	585	556
513	586	554
514	587	553
515	588	552
516	589	551
517	590	549
518	591	548
519	592	547
520	593	546
521	595	544
522	596	543
523	597	542
524	598	541
525	599	539
526	600	538
527	600	536
528	601	535
529	602	534
